2849,言叶之海,以前听他们说罗大佑关注的是整个世界，充满人文关怀，而李宗盛关注的是个人内心，听着这些歌，正印证了这句话
1422,凄凉的眼泪,现在没几个年轻人会在听这样经典的歌了，这个都童年的回忆的歌曲啊
1009,O是张书菏,今天是香港回归24周年  中国建党100周年   可谓双喜    我爱🇨🇳   祝祖国繁荣昌盛
660,叶之云云,这得多深沉的爱才能谱出这样的曲 唱出这样的歌啊  深沉如此却又缓缓流淌一点不觉腻  罗大佑哇罗大佑 就你一个了[可爱]
583,你家蘑菇发霉了,看完评论我越来越觉得九年义务教育需要加强。
567,jiangwy011,小时候爸爸经常唱[可爱]
448,ManchesterBTS,直到有一天，我来到香港，登上了维多利亚港的观光船。站在甲板上，海风轻拂脸颊，耳机里放着《东方之珠》，不禁落下泪来。让海潮伴我来保佑你，请别忘记我永远不变黄色的脸。……请别忘记我永远不变黄色的脸。
423,旧钞票不连号,小学的时候音乐课上，现在记不起是不是专业的音乐老师叫我们唱过，九几年的时候。
318,香蕉你个拔娜娜,小时候一直东方之珠和东方明珠傻傻分不清...
239,风然-FR,空间看到机场小提琴的举个手
239,小白是我名字,人民的酒肉款待着归家的儿女，他们却爱着女王的骨头。
216,木宥三村,我们没有忘记，新一代的青年没有忘记，我们更期待宝岛的回归
205,B612STAR,我其实不是一个激情的爱国者，但是我每次看到关于这片土地的山川海河的文字和音乐 就想哭，因为国家只是一个政权组织的名字，真正勇敢的是这片土地和土地上的生生不息的人，悲苦又壮丽
187,帐号已注销,每次听见“让海风吹拂了五千年”这一句的调子，都不由自主地微笑，不管在忙什么作业论文看什么书都放下好好听一会儿。这世界上没有几首好听到让人出神傻笑的歌。
179,宋灵均_,希望台湾早日回到母亲的怀抱
2,看见我叫我去刷题pku,祝祖国繁荣昌盛，国泰民安，风调雨顺，祝香港越来越好
1,Prison_am1J,25
1,喜欢小新的大雄,今天是香港回归25周年，建党101周年，时间就是这么神奇，很荣幸能经历这些难忘的瞬间，它们是无数先辈用生命和鲜血换回来的，我们永远不会忘记这些“黄色的脸”。
0,华东_4frj,庆祝香港回归25周年
0,梦想家zzh-,祝祖国繁荣昌盛
0,旻翀_,小时候听，现在也在听
0,violet曾爱,又走过了一年，25周年啦[亲亲]
0,旻翀_,有听！
1,Litter-nine,今天是中国共产党建立第101周年，也是香港回归第25周年，祝无产阶级早日打到资本主义提，中国共产党万岁！！！中国万岁！！！人民万岁！！！祝香港明天会更好
0,明朗_朗朗朗,真的是热泪盈眶
0,音你璀璨,97年出生，22年结婚，时光飞逝。
0,腼腆的花卷,今天25年了
0,Miyu斐,香港永远的东方之珠！🇨🇳🇭🇰
0,执信_,05后在此[色]
0,BIow-Me,时光荏苒，岁月如梭，一转眼25年过去了，我也25岁了，祝福香港，祝福伟大的祖国，祝福我们每一个人🇨🇳🇭🇰
0,兜兜里的小柚子,今天是香港回归25周年，希望祖国越来越繁荣昌盛。
0,云村_4hbc,今天是25周年🌈
0,O是张书菏,叫我吗？[奸笑]
0,豆豆豆豆同学,🇨🇳 1997.07.01-2022.07.01  25Y  🇭🇰
0,拥有的梦想已消散,华语音乐我崇拜的人不多，数来数去只有一人
2,k-Jelly,香港回归25周年了，各位同胞
1,瑜磊,2022年7月1日。香港明天会更好。永远不要忘记我们黄色的脸，中华大地永不变，保留好我们民族特色，守好我们的炎黄血脉。黑人，白人，西亚人，不要来坏了我们的血脉。希望中国永远是我们炎黄子孙的。龙的血脉。
0,k-Jelly,25周年了，宝宝
3,可爱又迷人的反派美女,热烈庆祝香港回归祖国怀抱25周年，功不唐捐，玉汝于成，乘势而上，接续奋斗，祝愿祖国繁荣昌盛🇨🇳🇭🇰
2,阿久要温柔,小时候只觉得好听，长大了听会热血会流泪会感动
0,Jazmin小蜗呀,庆祝香港回归25周年🎊
0,好喝的qiqichen,❤️
0,Veronica周四,俺也一样
0,期待summer-,祝祖国繁华荣昌盛。
0,oooooopu,读书的时候有教 东方之珠 七子之歌
0,溯光-mx,25周年啦
0,暴走的食肉兽,今天香港回归25周年！祝祖国繁荣昌盛！祝香港越来越好
1,青山应如是e,韵味意味深长
0,chenjiayka,一 国 两 制 统 一 中 国
0,Z-果果果果果,笑死了平时一个个网抑云，还张口就来什么时代，家国情怀。格局确实重要，但是能将人的感情写出来，同样值得歌颂，每一个人的内心同样珍贵。
1,晚安zz张张,1997-2022[爱心]
0,十三十七十九,年轻时不懂  年纪大了才品味出其中深意
3,离途yo,今天是香港回归25周年  中国建党101周年   荣幸之至 生长在这个年代 作为年轻的一代 见证了祖国的繁荣富强！！！[多多大笑][多多大笑]
0,绘纸,1997年我出生啦！
0,佩珀军士孤独之心俱乐部乐队鼓手,罗大佑是我见过写词格局最大的音乐家
2,佑尘AQ,今天是香港回归25周年，25年风雨，73载征程，勠力同心，共创未来😊
3,奈纺未,2022/7/1
0,RedEmptioD,愿祖国繁荣昌盛
2,有田一坡,25周年，特意来听。97.7.1的你，还好吗？
0,用户391819188,25周年啦
0,云村村民162282136276929,祖国繁荣昌盛！
2,Sonsyzen,XXXX，XXXX
1,家有宝贝叫伊一,今天是香港回归25周年 中国建党101周年 可谓双喜 我爱 祝祖国繁荣昌盛
1,谢灰灰想打人,热烈庆祝香港回归祖国怀抱25周年[多多耍酷][多多耍酷]
0,一追再追8,25周年🇭🇰
1,彳亍legend,热烈庆祝香港回归祖国怀抱25周年，风雨同行，携手并进。
0,天天天蓝171119,香港回归25周年
1,禾斗Nicole,紫荆花永远盛开
0,奈兜子_,繁荣富强🇨🇳🇭🇰
0,妘烟,今天是香港回归25周年，中国共产党建党101周年，双喜，庆祝庆祝～
0,奇诺布卡,25啦
0,killer丨皮丨,地区不同而已
0,萧霄逍,有些歌曲，就是你平时没有怎么听过，但是一听到就会让你莫名的激动和熟悉
